time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1696750217.91576457,0.00379851,1460,0.00053130,0.00000000,0,0.00000000,332,464,195,0.00000000
1696750218.01575327,0.00159218,1461,0.00020118,0.00000000,0,0.00000000,464,549,139,0.00489480
1696750218.11486959,0.00325863,1478,0.00043106,0.00000000,0,0.00000000,549,573,112,0.00347854
1696750218.21576190,0.00384955,1476,0.00023301,0.00000000,0,0.00000000,573,621,93,0.00308558
1696750218.31573796,0.00318978,1473,0.00021554,0.00000000,0,0.00000000,621,654,84,0.00218582
1696750218.41586590,0.00323980,1507,0.00030897,0.00000000,0,0.00000000,654,685,84,0.00085860
1696750218.51576114,0.00619230,1464,0.00043585,0.00000000,0,0.00000000,685,700,60,0.00282116
1696750218.61568809,0.00535147,1456,0.00033628,0.00000000,0,0.00000000,700,700,64,0.00288732
1696750218.71578598,0.00571309,1476,0.00052931,0.00000000,0,0.00000000,700,723,58,0.00233260
1696750218.81566811,0.00496319,1437,0.00019737,0.00000000,0,0.00000000,723,751,43,0.00289448
1696750218.91565728,0.00914490,1474,0.00080912,0.00000000,0,0.00000000,751,758,50,0.00270985
1696750219.01588821,0.00243524,1468,0.00020669,0.00000000,0,0.00000000,758,749,51,0.00461649
1696750219.11589551,0.00499633,1453,0.00023569,0.00000000,0,0.00000000,749,743,42,0.00244045
1696750219.21485567,0.00196242,1440,0.00010721,0.00000000,0,0.00000000,743,773,40,0.00520201
1696750219.31587362,0.00534093,1446,0.00033785,0.00000000,0,0.00000000,773,811,52,0.00293208
1696750219.41574025,0.00436773,1426,0.00016626,0.00000000,0,0.00000000,811,838,45,0.00099182
1696750219.51568031,0.00255071,1443,0.00008138,0.00000000,0,0.00000000,838,847,30,0.00219082
1696750219.61589813,0.00341211,1403,0.00021262,0.00000000,0,0.00000000,847,836,32,0.00134463
1696750219.71575356,0.00356413,1401,0.00029142,0.00000000,0,0.00000000,836,782,29,0.00222745
1696750219.81567121,0.00359275,1446,0.00012677,0.00000000,0,0.00000000,782,799,30,0.00548343
1696750219.91578126,0.00525880,1411,0.00026966,0.00000000,0,0.00000000,799,830,38,0.00304654
1696750220.01576471,0.00339589,1409,0.00018024,0.00000000,0,0.00000000,830,810,35,0.00233435
1696750220.11497283,0.00393930,1429,0.00011044,0.00000000,0,0.00000000,810,829,28,0.00231530
